gene_id	gene_name	gene_biotype	ICN	ICAA	IKD16N	IKD16A
ENSG00000000003.15	TSPAN6	protein_coding	29.64103489	14.53741852	23.24350857	18.91070224
ENSG00000000005.6	TNMD	protein_coding	0	0	0	0
ENSG00000000419.14	DPM1	protein_coding	6.61709137	3.69660412	7.281450027	5.137448215
ENSG00000000457.14	SCYL3	protein_coding	0	0.383215054	2.39340937	3.115608941
ENSG00000000460.17	C1orf112	protein_coding	3.916735395	0	2.759436632	2.394722093
ENSG00000000938.13	FGR	protein_coding	0	0	0	0
ENSG00000000971.16	CFH	protein_coding	30.40071359	27.10386914	18.16663696	10.45065124
ENSG00000001036.14	FUCA2	protein_coding	110.8243889	63.55829438	77.05692572	38.83998235
ENSG00000001084.13	GCLC	protein_coding	26.45432531	19.58816777	17.20405317	20.73638155
ENSG00000001167.15	NFYA	protein_coding	8.002687132	3.398510828	7.694335065	4.605086453
ENSG00000001460.18	STPG1	protein_coding	1.717109498	0.929738885	0.967796774	3.079571531
ENSG00000001461.17	NIPAL3	protein_coding	9.021184532	5.895173856	5.259845688	3.803876887
ENSG00000001497.18	LAS1L	protein_coding	7.449752387	7.983387514	7.741587933	5.503759935
ENSG00000001561.7	ENPP4	protein_coding	0	2.271894244	2.483136453	1.539243206
ENSG00000001617.12	SEMA3F	protein_coding	1.21129871	3.825877438	4.437626959	3.949852436
ENSG00000001626.16	CFTR	protein_coding	0	0	0	0
ENSG00000001629.10	ANKIB1	protein_coding	19.77848009	19.27651072	7.357377331	13.22136795
ENSG00000001630.17	CYP51A1	protein_coding	19.04955147	26.9073652	26.1415374	29.03320622
ENSG00000001631.16	KRIT1	protein_coding	0.471125691	0.850312449	1.06214292	3.840664865
ENSG00000002016.18	RAD52	protein_coding	0.649092558	4.100307466	6.219303216	2.645734491
ENSG00000002330.14	BAD	protein_coding	17.11278565	15.4430282	37.61590346	33.48124331
ENSG00000002549.13	LAP3	protein_coding	5.414143032	6.281826661	7.846760003	10.08837674
ENSG00000002586.20	CD99	protein_coding	0	0	0	0
ENSG00000002586.20_PAR_Y	CD99	protein_coding	0	0	0	0
ENSG00000002587.10	HS3ST1	protein_coding	0.393122231	2.128583094	2.215714418	0.320477267
ENSG00000002726.21	AOC1	protein_coding	0	0	0	0
ENSG00000002745.13	WNT16	protein_coding	0	0	0	0
ENSG00000002746.15	HECW1	protein_coding	1.677998587	0.567851285	1.182191367	0.683960813
ENSG00000002822.16	MAD1L1	protein_coding	0	0	0	0
ENSG00000002834.18	LASP1	protein_coding	109.6953553	156.8929431	111.0543304	123.8448793
ENSG00000002919.15	SNX11	protein_coding	21.21604492	11.48755042	15.14652297	12.10687591
ENSG00000002933.9	TMEM176A	protein_coding	0	0	0	0
ENSG00000003056.8	M6PR	protein_coding	124.7414671	85.34717689	74.44244197	32.56755248
ENSG00000003096.14	KLHL13	protein_coding	0	0	0.235913457	0.682442641
ENSG00000003137.9	CYP26B1	protein_coding	0	0	0.680877731	0.492405142
ENSG00000003147.19	ICA1	protein_coding	0	0.540173913	2.361598543	1.463904454
ENSG00000003249.15	DBNDD1	protein_coding	33.40790076	21.28106047	14.39891598	9.078154235
ENSG00000003393.16	ALS2	protein_coding	1.395453126	0.472235112	0.639035231	0.568793837
ENSG00000003400.15	CASP10	protein_coding	1.542204874	0.347931568	2.824955508	1.257221202
ENSG00000003402.20	CFLAR	protein_coding	2.600528305	2.93348149	3.664272587	4.981946646
ENSG00000003436.16	TFPI	protein_coding	27.19755446	17.33827298	21.37632899	16.06941524
ENSG00000003509.16	NDUFAF7	protein_coding	4.803391599	6.502060518	1.353643114	3.915774005
ENSG00000003756.17	RBM5	protein_coding	1.975480015	2.29207521	3.817438261	1.840493179
ENSG00000003987.14	MTMR7	protein_coding	0	0	0.475572653	0.343930208
ENSG00000003989.18	SLC7A2	protein_coding	0.36974874	0.333670995	1.041988406	0.904268874
ENSG00000004059.11	ARF5	protein_coding	70.46904476	41.91364783	45.13379917	36.55723699
ENSG00000004139.14	SARM1	protein_coding	0.526405005	3.56281299	0.296692241	0.429130749
